Pavarde        Vardas         Galutinis (Vid.)
Saulius        Navickas           6.97
Lukas          Paulauskas         7.97
Paulius        Urbonas            5.17
Vytautas       Stankevičius       5.37
Mantas         Šimkus             7.54
Šarūnas        Balsys             8.74
Jonas          Kairys             7.60
Laurynas       Šimkus             8.03
Eimantas       Paulauskas         6.63
Arvydas        Matulis            7.63
Giedrius       Vaitkus            6.20
Vytautas       Misevičius         7.14
Simonas        Jasinskas          8.57
Vytautas       Balčiūnas          6.66
Rokas          Morkūnas           7.80
Gabrielius     Kundrotas          7.80
Vytautas       Jankauskas         6.71
Dominykas      Balsys             6.03
Giedrius       Urbonas            5.74
Aurimas        Navickas           6.40
Giedrius       Šimkus             5.57
Gabrielius     Petraitis          6.86
Edgaras        Navickas           7.37
Gabrielius     Jasinskas          5.74
Ernestas       Urbonas            8.46
Paulius        Balčiūnas          5.60
Paulius        Žukauskas          5.03
Antanas        Norkus             5.09
Justinas       Navickas           7.23
Eimantas       Vaitkus            8.29
Dovydas        Šimkus             6.14
Ignas          Sakalauskas        7.29
Eimantas       Sabonis            5.11
Jonas          Butkus             8.06
Šarūnas        Butkus             7.49
Mindaugas      Zelvys             6.74
Tomas          Misevičius         7.31
Gabrielius     Jasinskas          5.29
Vilius         Petrauskas         5.37
Saulius        Pocius             8.11
Edgaras        Rutkauskas         6.69
Saulius        Kairys             7.71
Šarūnas        Bagdonas           6.77
Mantas         Petraitis          6.00
Ignas          Jasinskas          5.57
Dovydas        Urbonas            7.31
Simonas        Šimkus             6.74
Arnas          Balčiūnas          6.14
Gabrielius     Kundrotas          5.49
Martynas       Morkūnas           6.97
Justinas       Vaitkus            7.97
Eimantas       Matulis            5.11
Aurimas        Jankauskas         7.60
Antanas        Vaičiūnas          7.57
Ernestas       Stankevičius       5.03
Lukas          Šimkus             6.63
Saulius        Vaičiūnas          6.46
Rokas          Balsys             7.51
Jonas          Jankauskas         6.60
Aurimas        Misevičius         5.71
Andrius        Dapkus             6.77
Rokas          Misevičius         6.63
Antanas        Norkus             5.11
Laurynas       Petraitis          5.40
Simonas        Jankauskas         5.89
Rokas          Urbonas            7.09
Mindaugas      Rutkauskas         6.49
Simonas        Misevičius         6.46
Simonas        Urbonas            8.37
Rokas          Rutkauskas         5.03
Mindaugas      Kundrotas          5.29
Paulius        Žukauskas          8.51
Eimantas       Zelvys             8.20
Aurimas        Petraitis          7.11
Aurimas        Kairys             7.69
Vilius         Jankauskas         7.49
Deividas       Jankauskas         6.14
Justinas       Jankauskas         7.34
Lukas          Balčiūnas          6.49
Simonas        Butkus             6.03
Ernestas       Sabonis            6.43
Ignas          Jankauskas         7.14
Vytautas       Kundrotas          7.57
Šarūnas        Balčiūnas          7.20
Lukas          Rutkauskas         8.29
Saulius        Kundrotas          5.60
Šarūnas        Pocius             7.86
Martynas       Navickas           6.49
Dominykas      Balčiūnas          5.49
Mindaugas      Navickas           5.14
Aurimas        Zelvys             6.06
Šarūnas        Pocius             5.63
Arvydas        Vaičiūnas          5.49
Edgaras        Pocius             7.46
Deividas       Balčiūnas          5.91
Laurynas       Misevičius         6.23
Dovydas        Misevičius         6.37
Ignas          Norkus             8.46
Eimantas       Stankevičius       7.20
Paulius        Stankevičius       8.11
Lukas          Zelvys             7.66
Vilius         Pocius             5.06
Laurynas       Juodka             6.91
Dovydas        Misevičius         6.60
Eimantas       Sakalauskas        6.14
Gabrielius     Zelvys             7.94
Justinas       Juodka             6.06
Justinas       Juodka             7.11
Eimantas       Juodka             5.49
Justinas       Dapkus             6.63
Saulius        Norkus             5.49
Martynas       Vaitkus            7.60
Arvydas        Sabonis            6.51
Gabrielius     Balčiūnas          5.09
Andrius        Stankevičius       6.97
Mindaugas      Kairys             7.54
Vytautas       Vaičiūnas          6.26
Saulius        Šimkus             5.66
Ignas          Paulauskas         6.77
Dominykas      Navickas           8.00
Mantas         Sabonis            7.46
Martynas       Navickas           7.51
Arnas          Misevičius         5.91
Aurimas        Jankauskas         5.00
Tomas          Stankevičius       6.11
Simonas        Matulis            6.77
Edgaras        Vaitkus            6.91
Dovydas        Urbonas            5.17
Edgaras        Juodka             8.40
Saulius        Vaitkus            6.23
Vilius         Balsys             7.91
Mindaugas      Misevičius         8.11
Arnas          Misevičius         5.97
Paulius        Juodka             6.89
Mantas         Zelvys             6.09
Ignas          Jankauskas         6.06
Deividas       Morkūnas           5.37
Dovydas        Šimkus             7.86
Aurimas        Petraitis          5.94
Jonas          Zelvys             5.74
Rokas          Morkūnas           6.49
Vilius         Sabonis            5.63
Laurynas       Jasinskas          6.77
Giedrius       Morkūnas           5.57
Jonas          Žukauskas          6.37
Vilius         Dapkus             7.40
Gabrielius     Matulis            7.54
Paulius        Kazlauskas         6.83
Lukas          Petraitis          7.57
Rokas          Norkus             7.66
Arnas          Balčiūnas          6.89
Paulius        Juodka             7.11
Arvydas        Jasinskas          5.69
Šarūnas        Balčiūnas          5.86
Šarūnas        Kazlauskas         5.17
Rokas          Pocius             7.66
Lukas          Šimkus             7.71
Dominykas      Jasinskas          6.06
Simonas        Kazlauskas         5.29
Giedrius       Kazlauskas         7.11
Rokas          Petraitis          7.43
Tomas          Stankevičius       6.49
Lukas          Žukauskas          6.63
Vytautas       Morkūnas           6.20
Martynas       Norkus             6.80
Saulius        Sabonis            7.14
Lukas          Vaičiūnas          6.03
Edgaras        Vaičiūnas          8.69
Rokas          Navickas           8.40
Arvydas        Norkus             6.06
Mindaugas      Vaičiūnas          7.06
Saulius        Balčiūnas          7.37
Tomas          Paulauskas         8.17
Giedrius       Žukauskas          6.66
Eimantas       Misevičius         7.83
Arnas          Petraitis          5.29
Eimantas       Kazlauskas         7.17
Dominykas      Vaitkus            5.34
Andrius        Bagdonas           6.11
Rokas          Vaičiūnas          6.34
Ernestas       Urbonas            7.94
Mantas         Rutkauskas         7.37
Gabrielius     Matulis            7.31
Mantas         Pocius             7.97
Saulius        Jasinskas          6.66
Antanas        Pocius             8.57
Eimantas       Jasinskas          7.86
Martynas       Balčiūnas          8.14
Dovydas        Kazlauskas         8.40
Paulius        Sakalauskas        5.94
Tomas          Matulis            6.43
Rokas          Zelvys             5.34
Simonas        Petrauskas         5.63
Ignas          Kairys             6.89
Saulius        Sabonis            5.63
Deividas       Pocius             6.80
Lukas          Balčiūnas          5.83
Aurimas        Dapkus             5.94
Deividas       Sakalauskas        6.31
Martynas       Kazlauskas         6.63
Antanas        Kairys             6.66
Laurynas       Kairys             7.86
Ignas          Balsys             6.03
Simonas        Stankevičius       7.54
Arvydas        Petrauskas         6.14
Justinas       Vaičiūnas          8.29
Eimantas       Matulis            5.74
Arvydas        Kazlauskas         6.46
Laurynas       Vaičiūnas          7.09
Giedrius       Stankevičius       5.43
Eimantas       Petrauskas         5.00
Gabrielius     Morkūnas           7.17
Andrius        Stankevičius       5.23
Arnas          Žukauskas          5.34
Paulius        Kundrotas          6.06
Arvydas        Urbonas            5.34
Antanas        Bagdonas           6.14
Arnas          Misevičius         6.63
Rokas          Matulis            7.77
Jonas          Jasinskas          7.00
Arnas          Vaitkus            6.03
Deividas       Pocius             5.86
Rokas          Paulauskas         6.03
Deividas       Paulauskas         5.26
Deividas       Kazlauskas         6.06
Dominykas      Norkus             5.29
Eimantas       Sabonis            5.06
Deividas       Navickas           7.94
Gabrielius     Sakalauskas        6.00
Mantas         Petraitis          6.34
Tomas          Norkus             8.74
Saulius        Butkus             5.57
Ignas          Paulauskas         7.03
Paulius        Jasinskas          7.37
Deividas       Kazlauskas         6.94
Dominykas      Kazlauskas         5.11
Arnas          Pocius             8.57
Ignas          Zelvys             6.54
Tomas          Matulis            5.11
Dominykas      Jankauskas         8.91
Karolis        Balsys             6.14
Martynas       Balčiūnas          7.26
Ernestas       Žukauskas          7.34
Paulius        Dapkus             6.97
Edgaras        Rutkauskas         7.03
Antanas        Dapkus             7.86
Ernestas       Petraitis          6.63
Vilius         Vaitkus            7.17
Paulius        Sabonis            8.20
Saulius        Zelvys             7.46
Justinas       Dapkus             7.14
Vilius         Jankauskas         5.71
Tomas          Kazlauskas         7.17
Tomas          Pocius             7.80
Vytautas       Dapkus             8.63
Martynas       Vaičiūnas          6.37
Rokas          Juodka             7.34
Edgaras        Kundrotas          5.23
Arvydas        Kairys             6.51
Karolis        Juodka             7.94
Ignas          Urbonas            7.89
Karolis        Žukauskas          7.37
Vilius         Paulauskas         6.57
Vytautas       Juodka             8.69
Dominykas      Šimkus             5.63
Tomas          Rutkauskas         5.11
Jonas          Balčiūnas          7.69
Simonas        Kundrotas          7.00
